game_id,bracket,round,team1,seed1,team2,seed2,location,next_game,next_game_pos
E_1_1v16,East,1,Villanova,1,Radford,16,"Pittsburgh, PA",E_2_1,1
E_1_8v9,East,1,Virginia Tech,8,Alabama,9,"Pittsburgh, PA",E_2_1,2
E_1_5v12,East,1,West Virginia,5,Murray State,12,"San Diego, CA",E_2_2,1
E_1_4v13,East,1,Wichita State,4,Marshall,13,"San Diego, CA",E_2_2,2
E_1_6v11,East,1,Florida,6,St. Bonaventure,11,"Dallas, TX",E_2_3,1
E_1_3v14,East,1,Texas Tech,3,Stephen F. Austin,14,"Dallas, TX",E_2_3,2
E_1_7v10,East,1,Arkansas,7,Butler,10,"Detroit, MI",E_2_4,1
E_1_2v15,East,1,Purdue,2,Cal State Fullerton,15,"Detroit, MI",E_2_4,2
M_1_1v16,Midwest,1,Kansas,1,Penn,16,"Wichita, KS",M_2_1,1
M_1_8v9,Midwest,1,Seton Hall,8,NC State,9,"Wichita, KS",M_2_1,2
M_1_5v12,Midwest,1,Clemson,5,New Mexico State,12,"San Diego, CA",M_2_2,1
M_1_4v13,Midwest,1,Auburn,4,College of Charleston,13,"San Diego, CA",M_2_2,2
M_1_6v11,Midwest,1,TCU,6,Syracuse,11,"Detroit, MI",M_2_3,1
M_1_3v14,Midwest,1,Michigan State,3,Bucknell,14,"Detroit, MI",M_2_3,2
M_1_7v10,Midwest,1,Rhode Island,7,Oklahoma,10,"Pittsburgh, PA",M_2_4,1
M_1_2v15,Midwest,1,Duke,2,Iona,15,"Pittsburgh, PA",M_2_4,2
W_1_1v16,West,1,Xavier,1,Texas Southern,16,"Nashville, TN",W_2_1,1
W_1_8v9,West,1,Missouri,8,Florida State,9,"Nashville, TN",W_2_1,2
W_1_5v12,West,1,Ohio State,5,South Dakota State,12,"Boise, ID",W_2_2,1
W_1_4v13,West,1,Gonzaga,4,UNC Greensboro,13,"Boise, ID",W_2_2,2
W_1_6v11,West,1,Houston,6,San Diego State,11,"Wichita, KS",W_2_3,1
W_1_3v14,West,1,Michigan,3,Montana,14,"Wichita, KS",W_2_3,2
W_1_7v10,West,1,Texas A&M,7,Providence,10,"Charlotte, NC",W_2_4,1
W_1_2v15,West,1,UNC,2,Lipscomb,15,"Charlotte, NC",W_2_4,2
S_1_1v16,South,1,Virginia,1,UMBC,16,"Charlotte, NC",S_2_1,1
S_1_8v9,South,1,Creighton,8,Kansas State,9,"Charlotte, NC",S_2_1,2
S_1_5v12,South,1,Kentucky,5,Davidson,12,"Boise, ID",S_2_2,1
S_1_4v13,South,1,Arizona,4,Buffalo,13,"Boise, ID",S_2_2,2
S_1_6v11,South,1,Miami (FL),6,Loyola (IL),11,"Dallas, TX",S_2_3,1
S_1_3v14,South,1,Tennessee,3,Wright State,14,"Dallas, TX",S_2_3,2
S_1_7v10,South,1,Nevada,7,Texas,10,"Nashville, TN",S_2_4,1
S_1_2v15,South,1,Cincinnati,2,Georgia State,15,"Nashville, TN",S_2_4,2
E_2_1,East,2,,,,,"Pittsburgh, PA",E_3_1,1
E_2_2,East,2,,,,,"San Diego, CA",E_3_1,2
E_2_3,East,2,,,,,"Dallas, TX",E_3_2,1
E_2_4,East,2,,,,,"Detroit, MI",E_3_2,2
M_2_1,Midwest,2,,,,,"Wichita, KS",M_3_1,1
M_2_2,Midwest,2,,,,,"San Diego, CA",M_3_1,2
M_2_3,Midwest,2,,,,,"Detroit, MI",M_3_2,1
M_2_4,Midwest,2,,,,,"Pittsburgh, PA",M_3_2,2
W_2_1,West,2,,,,,"Nashville, TN",W_3_1,1
W_2_2,West,2,,,,,"Boise, ID",W_3_1,2
W_2_3,West,2,,,,,"Wichita, KS",W_3_2,1
W_2_4,West,2,,,,,"Charlotte, NC",W_3_2,2
S_2_1,South,2,,,,,"Charlotte, NC",S_3_1,1
S_2_2,South,2,,,,,"Boise, ID",S_3_1,2
S_2_3,South,2,,,,,"Dallas, TX",S_3_2,1
S_2_4,South,2,,,,,"Nashville, TN",S_3_2,2
E_3_1,East,3,,,,,"Boston, MA",E_4,1
E_3_2,East,3,,,,,"Boston, MA",E_4,2
M_3_1,Midwest,3,,,,,"Omaha, NE",M_4,1
M_3_2,Midwest,3,,,,,"Omaha, NE",M_4,2
W_3_1,West,3,,,,,"Los Angeles, CA",W_4,1
W_3_2,West,3,,,,,"Los Angeles, CA",W_4,2
S_3_1,South,3,,,,,"Atlanta, GA",S_4,1
S_3_2,South,3,,,,,"Atlanta, GA",S_4,2
E_4,East,4,,,,,"Boston, MA",FF_E_MW,1
M_4,Midwest,4,,,,,"Omaha, NE",FF_E_MW,2
W_4,West,4,,,,,"Los Angeles, CA",FF_W_S,1
S_4,South,4,,,,,"Atlanta, GA",FF_W_S,2
FF_E_MW,FF_E_MW,5,,,,,"San Antonio, TX",FINAL,1
FF_W_S,FF_W_S,5,,,,,"San Antonio, TX",FINAL,2
FINAL,Final,6,,,,,"San Antonio, TX",na,0
